gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G592,"Viceroy",1,4,60,45,2014
G593,"Village Pillage",2,5,20,20,2019
G594,"Vindication",2,5,150,45,2018
G595,"Viticulture",2,6,90,90,2013
G596,"VivaJava: The Coffee Game: The Dice Game",1,4,40,20,2014
G597,"The Voyages of Marco Polo",2,4,100,40,2015
G598,"Warsaw: City of Ruins",2,4,60,60,2016
G599,"Wasteland Express Delivery Service",2,5,120,90,2017
G600,"Welcome to the Dungeon",2,4,30,30,2013
G601,"Werewords",4,10,10,10,2017
G602,"Wheel of Fortune",2,4,60,60,1975
G603,"Whitehall Mystery",2,4,60,45,2017
G604,"Wild Space",1,5,40,15,2020
G605,"Wingspan",1,5,70,40,2019
G606,"WINK",3,8,20,20,1994
G607,"Wits & Wagers",3,7,25,25,2005
G608,"Wok and Roll",1,5,45,30,2020
G609,"Word Slam",3,99,45,45,2016
G610,"Word Slam",3,99,45,45,2016
G611,"World of Yo-Ho",2,4,90,45,2016
G612,"World Wonders",1,5,70,50,2023
G613,"World's Fair 1893",2,4,45,35,2016
G614,"Wreck Raiders",1,5,45,45,2019
G615,"Wreckage",2,4,45,45,2003
G616,"XenoShyft: Onslaught",1,4,60,30,2015
G617,"Yamatai",2,4,80,40,2017
G618,"Yardmaster",2,5,20,20,2014
G619,"Yedo",2,5,180,120,2012
G620,"You Robot",4,10,20,20,2009
G621,"Zendo",2,6,60,15,2001
G622,"Zeus on the Loose",2,5,15,15,2006
G623,"Zombie Fluxx",2,6,40,10,2007
G624,"Zooloretto",2,5,45,45,2007
G99,"Test save game",2,4,30,10,2024
